2020-05-14 13:12:10: "Profile directory: /home/jogi/.config/joplin"
2020-05-14 13:12:11: "First start: detected locale as en_GB"
2020-05-14 13:12:11: "Trying to load 0 master keys..."
2020-05-14 13:12:11: "Loaded master keys: 0"
2020-05-14 13:12:11: "ResourceFetcher: Auto-add resources: Mode: always"
2020-05-14 13:12:11: "ResourceFetcher: Auto-added resources: 0"
2020-05-14 13:12:11: "Running migration: 20"
2020-05-14 13:12:11: "Running migration: 27"
2020-05-14 13:12:11: "Trying to load 0 master keys..."
2020-05-14 13:12:11: "Loaded master keys: 0"
2020-05-14 13:12:11: "Scheduling sync operation...", "10000"
2020-05-14 13:12:11: "Trying to load 0 master keys..."
2020-05-14 13:12:11: "Loaded master keys: 0"
2020-05-14 13:12:11: "Scheduling sync operation...", "10000"
2020-05-14 13:12:11: "Trying to load 0 master keys..."
2020-05-14 13:12:11: "Loaded master keys: 0"
2020-05-14 13:12:11: "Scheduling sync operation...", "10000"
2020-05-14 13:12:11: "RevisionService::runInBackground: Starting background service with revision collection interval 600000"
2020-05-14 13:12:12: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 13:12:15: "RevisionService::maintenance: Starting..."
2020-05-14 13:12:15: "RevisionService::maintenance: Service is enabled"
2020-05-14 13:12:15: "RevisionService::collectRevisions: Created revisions for 0 notes"
2020-05-14 13:12:15: "RevisionService::maintenance: Done in 104ms"
2020-05-14 13:12:21: "SearchEngine: Updating FTS table..."
2020-05-14 13:12:21: "Preparing scheduled sync"
2020-05-14 13:12:21: "Saving updated Dropbox auth."
2020-05-14 13:12:21: "Synchroniser is missing credentials - manual sync required to authenticate."
2020-05-14 13:12:41: "ResourceService::indexNoteResources: Start"
2020-05-14 13:12:41: "ResourceService::indexNoteResources: Completed"
2020-05-14 13:12:41: "ResourceService::deleteOrphanResources:", "[]"
2020-05-14 13:17:11: "Running background sync on timer..."
2020-05-14 13:17:11: "Scheduling sync operation...", "0"
2020-05-14 13:17:11: "Preparing scheduled sync"
2020-05-14 13:17:11: "Synchroniser is missing credentials - manual sync required to authenticate."
2020-05-14 13:22:11: "Running background sync on timer..."
2020-05-14 13:22:11: "Scheduling sync operation...", "0"
2020-05-14 13:22:11: "Preparing scheduled sync"
2020-05-14 13:22:11: "Synchroniser is missing credentials - manual sync required to authenticate."
